size,algorithm,time_seconds,memory_rss_kb,tracemalloc_peak_kb
100,bubble,0.0005680999984178925,100328.0,0.109375
100,insertion,0.0002784000007522991,100328.0,0.078125
500,bubble,0.0727534999987256,100352.0,0.23046875
500,insertion,0.042632799999410054,100352.0,0.13671875
1000,bubble,0.5564849000002141,100436.0,0.26171875
1000,insertion,0.28329370000028575,100436.0,0.13671875
2000,bubble,3.403414400001566,100540.0,0.26171875
2000,insertion,1.6830045000006066,100540.0,0.13671875
